axis,Voice Style,Concreteness Specificity,Rhythm Syntax,Syntax Complexity,Paragraphing Lineation,Pov Distance,Structure Pacing,Tone Mood,Tonal Span,Imagery Density,Dialogue Density,Dialogue Subtext,Experimentation Degree,Associative Gaps,Closure Cadence,Worldbuilding Intensity,Internal External Ratio,Realism Spectrum
Voice Style,1.0,0.87,0.96,0.91,0.43,0.62,0.72,0.98,0.78,0.99,0.08,0.65,0.85,0.79,0.37,0.55,0.32,0.62
Concreteness Specificity,0.87,1.0,0.94,0.89,0.51,0.65,0.89,0.85,0.87,0.9,0.4,0.75,0.68,0.58,0.32,0.7,0.6,0.44
Rhythm Syntax,0.96,0.94,1.0,0.91,0.55,0.7,0.8,0.93,0.89,0.95,0.31,0.77,0.8,0.74,0.38,0.62,0.44,0.52
Syntax Complexity,0.91,0.89,0.91,1.0,0.28,0.53,0.7,0.87,0.75,0.9,0.1,0.55,0.69,0.57,0.39,0.64,0.43,0.49
Paragraphing Lineation,0.43,0.51,0.55,0.28,1.0,0.48,0.61,0.43,0.68,0.42,0.54,0.67,0.45,0.45,0.02,0.28,0.22,0.14
Pov Distance,0.62,0.65,0.7,0.53,0.48,1.0,0.48,0.59,0.79,0.62,0.48,0.83,0.72,0.75,0.25,0.5,0.29,0.15
Structure Pacing,0.72,0.89,0.8,0.7,0.61,0.48,1.0,0.68,0.76,0.74,0.41,0.62,0.46,0.37,0.09,0.45,0.52,0.33
Tone Mood,0.98,0.85,0.93,0.87,0.43,0.59,0.68,1.0,0.74,0.98,0.03,0.62,0.86,0.78,0.42,0.55,0.27,0.63
Tonal Span,0.78,0.87,0.89,0.75,0.68,0.79,0.76,0.74,1.0,0.77,0.52,0.9,0.73,0.68,0.35,0.59,0.48,0.27
Imagery Density,0.99,0.9,0.95,0.9,0.42,0.62,0.74,0.98,0.77,1.0,0.13,0.66,0.86,0.78,0.36,0.61,0.39,0.67
Dialogue Density,0.08,0.4,0.31,0.1,0.54,0.48,0.41,0.03,0.52,0.13,1.0,0.68,0.14,0.16,-0.02,0.49,0.57,-0.05
Dialogue Subtext,0.65,0.75,0.77,0.55,0.67,0.83,0.62,0.62,0.9,0.66,0.68,1.0,0.73,0.73,0.21,0.6,0.47,0.31
Experimentation Degree,0.85,0.68,0.8,0.69,0.45,0.72,0.46,0.86,0.73,0.86,0.14,0.73,1.0,0.96,0.36,0.58,0.26,0.68
Associative Gaps,0.79,0.58,0.74,0.57,0.45,0.75,0.37,0.78,0.68,0.78,0.16,0.73,0.96,1.0,0.25,0.43,0.09,0.61
Closure Cadence,0.37,0.32,0.38,0.39,0.02,0.25,0.09,0.42,0.35,0.36,-0.02,0.21,0.36,0.25,1.0,0.51,0.34,0.17
Worldbuilding Intensity,0.55,0.7,0.62,0.64,0.28,0.5,0.45,0.55,0.59,0.61,0.49,0.6,0.58,0.43,0.51,1.0,0.79,0.49
Internal External Ratio,0.32,0.6,0.44,0.43,0.22,0.29,0.52,0.27,0.48,0.39,0.57,0.47,0.26,0.09,0.34,0.79,1.0,0.23
Realism Spectrum,0.62,0.44,0.52,0.49,0.14,0.15,0.33,0.63,0.27,0.67,-0.05,0.31,0.68,0.61,0.17,0.49,0.23,1.0
