LLM,LLM_Full,cat,cat_full,cat_desc,internal_external_ratio,dialogue_density
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,3.036563071297989,1.3393053016453382
command-a,Cohere Command A,13,13,,2.7255000000000003,0.71125
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,2.898,0.625
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,2.905,0.69475
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,3.08475,1.6565
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,2.792,0.621
glm-4-5,GLM-4.5,14,14,,2.8425,0.7275
gpt-5-medium,GPT-5 (medium reasoning),1,1,,2.9245,0.9115000000000001
gpt-oss-120b,GPT-OSS-120B,1,1,,2.6755,0.204
grok-4-0709,Grok 4,9,9,,2.951,0.677
kimi-k2,Kimi K2,16,16,,2.7857499999999997,0.79375
llama4-maverick,Llama 4 Maverick,3,3,,2.19575,0.1295
mistral-medium-2508,Mistral Medium 3.1,5,5,,2.87225,1.369
o3-pro-medium,o3-pro (medium reasoning),1,1,,3.24125,0.9825
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,3.0180000000000002,0.6835
