LLM,LLM_Full,cat,cat_full,cat_desc,rhythm_syntax,syntax_complexity
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,7.642413162705666,7.080987202925046
command-a,Cohere Command A,13,13,,6.894500000000001,6.63875
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,7.58625,7.247999999999999
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,7.60875,7.273250000000001
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,7.465,6.8585
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,7.6682500000000005,7.32225
glm-4-5,GLM-4.5,14,14,,7.0185,6.81325
gpt-5-medium,GPT-5 (medium reasoning),1,1,,8.52975,7.471
gpt-oss-120b,GPT-OSS-120B,1,1,,7.6682500000000005,7.4327499999999995
grok-4-0709,Grok 4,9,9,,7.5775,7.343500000000001
kimi-k2,Kimi K2,16,16,,8.371749999999999,7.7204999999999995
llama4-maverick,Llama 4 Maverick,3,3,,5.59025,5.847
mistral-medium-2508,Mistral Medium 3.1,5,5,,8.343,6.9254999999999995
o3-pro-medium,o3-pro (medium reasoning),1,1,,8.3835,7.479
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,7.795,7.559500000000001
