LLM,LLM_Full,cat,cat_full,cat_desc,syntax_complexity,rhythm_syntax
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,6.808,7.325875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,7.040337909186905,7.523864836325238
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,6.94575,7.396
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,6.888,7.2635000000000005
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,6.8515,7.272749999999999
command-a,Cohere Command A,13,13,,6.500625,6.70275
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,7.273250000000001,7.60875
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,7.247999999999999,7.58625
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,6.035,6.2065
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,7.2685,7.579249999999999
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,7.37825,7.571000000000001
glm-4-5,GLM-4.5,14,14,,6.631749999999999,6.776875
glm-4-6,GLM-4.6,14,14,,7.0615,7.10375
gpt-5-medium,GPT-5 (medium reasoning),1,1,,7.497625,8.482000000000001
gpt-5-pro,GPT-5 Pro,1,1,,7.5835,8.4305
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,7.446000000000001,8.08825
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,7.78225,8.0205
gpt-oss-120b,GPT-OSS-120B,1,1,,7.32225,7.539
grok-4-0709,Grok 4,9,9,,7.343500000000001,7.5775
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,7.247999999999999,7.6427499999999995
kimi-k2,Kimi K2,16,16,,7.7204999999999995,8.371749999999999
kimi-k2-thinking,Kimi K2 Thinking,16,16,,6.72225,7.3035000000000005
kimi-k2-0905,Kimi K2-0905,16,16,,7.8825,8.279
llama4-maverick,Llama 4 Maverick,3,3,,5.590863579474344,5.334
mistral-large-2512,Mistral Large 3,5,5,,6.54375,7.2625
mistral-medium-2508,Mistral Medium 3.1,5,5,,6.968624999999999,8.164625
o3-pro-medium,o3-pro (medium reasoning),1,1,,7.479,8.3835
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,7.559500000000001,7.795
qwen3-max-preview,Qwen 3 Max Preview,6,6,,7.66775,8.25975
