LLM,LLM_Full,cat,cat_full,cat_desc,tone_mood,tonal_span
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,8.388299817184643,3.525594149908592
command-a,Cohere Command A,13,13,,7.93675,2.992
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,8.47025,3.55775
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,8.472681704260651,3.51875
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,8.21175,3.549
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,8.517000000000001,3.3835
glm-4-5,GLM-4.5,14,14,,8.096,3.04175
gpt-5-medium,GPT-5 (medium reasoning),1,1,,8.93675,4.1265
gpt-oss-120b,GPT-OSS-120B,1,1,,8.67925,2.78675
grok-4-0709,Grok 4,9,9,,8.4965,3.1822500000000002
kimi-k2,Kimi K2,16,16,,8.91525,3.8025
llama4-maverick,Llama 4 Maverick,3,3,,7.822055137844612,2.385
mistral-medium-2508,Mistral Medium 3.1,5,5,,8.74425,3.8089999999999997
o3-pro-medium,o3-pro (medium reasoning),1,1,,8.86575,4.10375
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,8.637,3.4497500000000003
