LLM,LLM_Full,cat,cat_full,cat_desc,worldbuilding_intensity,realism_spectrum
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,3.99375,7.20875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,4.354593453009504,6.905279831045407
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,4.4605,6.834
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,4.457,6.699
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,4.41825,6.6057500000000005
command-a,Cohere Command A,13,13,,3.29825,6.961124999999999
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,3.5585000000000004,6.6785000000000005
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,3.508,6.689
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,3.6914999999999996,7.0760000000000005
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,4.0280000000000005,6.76
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,5.07775,7.643
glm-4-5,GLM-4.5,14,14,,3.757125,6.9725
glm-4-6,GLM-4.6,14,14,,4.10175,7.2825
gpt-5-medium,GPT-5 (medium reasoning),1,1,,4.38425,7.374125
gpt-5-pro,GPT-5 Pro,1,1,,4.8972500000000005,7.575
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,4.81675,7.38975
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,5.2307500000000005,7.324
gpt-oss-120b,GPT-OSS-120B,1,1,,3.7622500000000003,8.043
grok-4-0709,Grok 4,9,9,,3.825,7.1015
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,4.87675,7.7989999999999995
kimi-k2,Kimi K2,16,16,,3.8215,7.9615
kimi-k2-thinking,Kimi K2 Thinking,16,16,,4.27325,7.48975
kimi-k2-0905,Kimi K2-0905,16,16,,5.093500000000001,8.123
llama4-maverick,Llama 4 Maverick,3,3,,2.7071249999999996,6.603875
mistral-large-2512,Mistral Large 3,5,5,,3.93,7.11625
mistral-medium-2508,Mistral Medium 3.1,5,5,,3.92925,7.369625
o3-pro-medium,o3-pro (medium reasoning),1,1,,4.24775,7.69025
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,3.8052499999999996,6.400499999999999
qwen3-max-preview,Qwen 3 Max Preview,6,6,,4.77325,7.763999999999999
