PC1,PC2,LLM,LLM_Full,cat_full
-1.9875641470437375,2.0998376430279686,ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15
1.3826567422223321,3.088894853132644,claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2
-0.4911126044408046,6.9262374941709055,claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2
-0.25716286679649886,8.460723664527974,claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2
-0.5095543181217232,7.365490876557449,claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2
-8.109771389810694,-1.8056579534646573,command-a,Cohere Command A,13
-2.1619742424066337,-2.0068534446189683,deepseek-v31,DeepSeek V3.1 Non-Think,8
-1.945316013081223,-2.484066333983926,deepseek-reasoner,DeepSeek V3.1 Reasoner,8
-8.446246930725033,-1.2212933853190842,deepseek-v32-exp,Deepseek V3.2 Exp,8
-2.2731920758085082,1.5767915736270104,gemini-2.5-pro,Gemini 2.5 Pro,4
-1.5167856977946783,4.035273412258425,gemini-3-pro-preview,Gemini 3 Pro Preview,4
-6.152261747577112,-0.5936540614207818,glm-4-5,GLM-4.5,14
-5.044602373619891,1.6707243999195882,glm-4-6,GLM-4.6,14
13.90324015179607,-7.953299954673248,gpt-5-medium,GPT-5 (medium reasoning),1
11.97309639039713,-3.0748562502832746,gpt-5-pro,GPT-5 Pro,1
6.555812522558981,3.2656215907398876,gpt-5.1-medium,GPT-5.1 (medium reasoning),1
7.133116499675533,5.439816917331002,gpt-5.2-medium,GPT-5.2 (medium reasoning),1
-3.5118463730137113,-9.477481390864305,gpt-oss-120b,GPT-OSS-120B,1
-2.7954447237130364,-3.169653779259183,grok-4-0709,Grok 4,9
-0.7773616567179783,2.055266954817484,grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9
4.57048976130268,-6.429316197033573,kimi-k2,Kimi K2,16
-1.4146700790641704,-0.7580049881577959,kimi-k2-thinking,Kimi K2 Thinking,16
5.087002603059162,0.3233122675287838,kimi-k2-0905,Kimi K2-0905,16
-12.829697295705383,-8.216655621588345,llama4-maverick,Llama 4 Maverick,3
-1.40833580308383,6.818946367811225,mistral-large-2512,Mistral Large 3,5
3.0867774464657454,0.7359792088369466,mistral-medium-2508,Mistral Medium 3.1,5
6.456794252271844,-5.442915919649609,o3-pro-medium,o3-pro (medium reasoning),1
-0.4970294541814141,-0.9602626845283136,qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6
1.9809434229566314,-0.2689452594421723,qwen3-max-preview,Qwen 3 Max Preview,6
